Date;omm_id;nombre;summary;temperatura;humidity;pressure;windSpeed;uvIndex;temperatureMin;temperatureMax;precipAccumulation
2020-12-03;La Florida;1;;19.32;0.48;1010.6;8.54;10;13.85;24.79;3.84
2020-12-04;La Florida;1;Overcast throughout the day.;14.045;0.61;1021.9;8.1;5;9.41;18.68;1.284
2020-12-05;La Florida;1;Partly cloudy throughout the day.;13.18;0.54;1023.4;9.38;10;6.98;19.38;0.1152
2020-12-06;La Florida;1;Clear throughout the day.;15.89;0.6;1018.6;9.3;12;8.83;22.95;0.0168
2020-12-07;La Florida;1;Clear throughout the day.;17.5;0.61;1014.2;10.19;12;10.23;24.77;0.0288
2020-12-08;La Florida;1;Partly cloudy throughout the day.;21.27;0.59;1012.5;7.26;13;13.64;28.9;1.4544000000000001
2020-12-09;La Florida;1;Clear throughout the day.;23.405;0.58;1012.9;8.45;12;17.67;29.14;0.7296
2020-12-10;La Florida;1;Clear throughout the day.;25.695;0.45;1003.1;14.76;14;18.15;33.24;0.2136
2020-12-11;La Florida;1;Partly cloudy throughout the day.;17.62;0.5;1009.8;11.78;12;11.37;23.87;1.2456
2020-12-12;La Florida;1;Clear throughout the day.;21.285;0.45;1005.7;9.43;14;13.37;29.2;0.0504
2020-12-13;La Florida;1;Partly cloudy throughout the day.;17.095;0.5;1014.0;12.48;12;10.91;23.28;2.2392
2020-12-14;La Florida;1;Clear throughout the day.;20.305;0.35;1008.7;8.22;14;11.04;29.57;0.040799999999999996
2020-12-15;La Florida;1;Clear throughout the day.;19.215;0.3;1010.1;12.05;12;13.64;24.79;0.012
2020-12-16;La Florida;1;Clear throughout the day.;19.475;0.39;1013.2;11.3;13;12.13;26.82;0.12240000000000001
2020-12-17;La Florida;1;Partly cloudy throughout the day.;22.415;0.35;1010.1;13.52;12;14.58;30.25;0.2352
2020-12-18;La Florida;1;Rain overnight.;22.66;0.67;1003.8;11.51;11;15.99;29.33;10.276800000000001
2020-12-19;La Florida;1;Clear throughout the day.;16.54;0.49;1007.5;14.35;14;11.96;21.12;0.3528
2020-12-20;La Florida;1;Mostly cloudy throughout the day.;15.59;0.66;1013.9;6.66;8;9.63;21.55;1.0008
2020-12-21;La Florida;1;Partly cloudy throughout the day.;19.375;0.55;1015.7;9.16;11;11.87;26.88;0.0
2020-12-22;La Florida;1;Clear throughout the day.;21.685;0.47;1012.8;12.57;12;14.65;28.72;0.3024
2020-12-23;La Florida;1;Clear throughout the day.;22.79;0.46;1010.5;10.09;14;15.51;30.07;0.0216
2020-12-24;La Florida;1;Partly cloudy throughout the day.;22.845;0.54;1009.0;9.03;11;16.84;28.85;4.5456
2020-12-25;La Florida;1;Mostly cloudy throughout the day.;21.71;0.69;1012.7;8.33;10;16.79;26.63;5.364
2020-12-26;La Florida;1;Partly cloudy throughout the day.;22.63;0.55;1011.6;9.98;12;15.62;29.64;0.516
2020-12-27;La Florida;1;Mostly cloudy throughout the day.;22.935000000000002;0.62;1012.0;11.17;8;17.59;28.28;4.0200000000000005
2020-12-28;La Florida;1;Rain in the morning and afternoon.;19.105;0.91;1012.4;6.51;6;17.04;21.17;7.461600000000001
2020-12-29;La Florida;1;Clear throughout the day.;20.025;0.71;1009.3;7.1;14;14.45;25.6;0.0552
2020-12-30;La Florida;1;Partly cloudy throughout the day.;15.655;0.69;1011.5;9.38;13;11.23;20.08;1.8912
2020-12-31;La Florida;1;Clear throughout the day.;16.85;0.59;1015.0;8.77;14;10.03;23.67;0.0432
2021-01-01;La Florida;1;Mostly cloudy throughout the day.;19.835;0.62;1013.6;10.49;10;14.32;25.35;0.0576
2021-01-02;La Florida;1;Overcast throughout the day.;20.045;0.62;1013.0;13.1;6;16.65;23.44;0.5136
2021-01-03;La Florida;1;Heavy rain in the morning and afternoon.;16.945;0.96;1012.9;7.84;6;13.9;19.99;39.0936
2021-01-04;La Florida;1;Rain overnight.;18.064999999999998;0.92;1010.3;5.1;9;14.02;22.11;3.4104
2021-01-05;La Florida;1;Rain in the morning.;17.630000000000003;0.82;1013.1;6.76;8;13.23;22.03;14.808
2021-01-06;La Florida;1;Partly cloudy throughout the day.;16.22;0.63;1014.2;7.65;12;10.38;22.06;0.20400000000000001
2021-01-07;La Florida;1;Partly cloudy throughout the day.;18.845;0.56;1012.0;7.17;11;12.98;24.71;1.5792
2021-01-08;La Florida;1;Heavy rain overnight.;18.91;0.61;1012.0;9.34;9;14.9;22.92;6.4704
2021-01-09;La Florida;1;Partly cloudy throughout the day.;18.325;0.75;1010.6;7.0;11;12.42;24.23;14.2392
2021-01-10;La Florida;1;Possible light rain in the afternoon.;20.375;0.81;1006.5;8.28;10;15.51;25.24;4.1304
2021-01-11;La Florida;1;Partly cloudy throughout the day.;20.285;0.87;1007.2;10.29;11;15.37;25.2;6.8832
2021-01-12;La Florida;1;Mostly cloudy throughout the day.;15.81;0.65;1017.4;10.0;10;10.41;21.21;0.3888
2021-01-13;La Florida;1;Mostly cloudy throughout the day.;16.77;0.88;1016.6;10.33;7;12.97;20.57;0.6264000000000001
2021-01-14;La Florida;1;Mostly cloudy throughout the day.;18.740000000000002;0.88;1012.5;11.79;8;14.52;22.96;0.9384000000000001
2021-01-15;La Florida;1;Mostly cloudy throughout the day.;20.535;0.93;1006.8;6.16;7;16.47;24.6;4.5048
2021-01-16;La Florida;1;Rain in the morning.;15.875;0.79;1008.8;10.74;7;11.6;20.15;11.6472
2021-01-17;La Florida;1;Clear throughout the day.;16.555;0.51;1014.8;11.04;13;9.25;23.86;0.012
2021-01-18;La Florida;1;Clear throughout the day.;18.65;0.47;1014.7;8.74;12;11.76;25.54;0.0216
2021-01-19;La Florida;1;Partly cloudy throughout the day.;19.700000000000003;0.48;1014.8;9.19;10;13.23;26.17;0.012
2021-01-20;La Florida;1;Clear throughout the day.;20.04;0.44;1015.5;10.09;14;13.24;26.84;0.0168
2021-01-21;La Florida;1;Clear throughout the day.;21.305;0.45;1015.7;10.71;14;14.19;28.42;0.024
2021-01-22;La Florida;1;Clear throughout the day.;21.2;0.57;1015.5;11.51;12;14.9;27.5;0.43199999999999994
2021-01-23;La Florida;1;Partly cloudy throughout the day.;21.61;0.73;1012.1;10.01;11;15.37;27.85;2.5536
2021-01-24;La Florida;1;Partly cloudy throughout the day.;22.759999999999998;0.7;1009.3;7.93;11;17.58;27.94;3.9792
2021-01-25;La Florida;1;Partly cloudy throughout the day.;22.939999999999998;0.72;1005.5;5.55;10;18.3;27.58;3.2375999999999996
2021-01-26;La Florida;1;Rain in the afternoon.;21.295;0.75;1005.5;9.66;6;16.89;25.7;7.0296
2021-01-27;La Florida;1;Mostly cloudy throughout the day.;20.815;0.68;1007.7;7.77;8;15.51;26.12;2.1072
2021-01-28;La Florida;1;Rain in the evening and overnight.;19.200000000000003;0.72;1005.7;8.73;8;15.96;22.44;10.2528
2021-01-29;La Florida;1;Rain overnight.;19.435000000000002;0.89;1004.6;7.05;8;14.39;24.48;11.9712
2021-01-30;La Florida;1;Rain until afternoon, starting again overnight.;16.049999999999997;0.98;1009.3;8.53;6;13.27;18.83;12.031199999999998
2021-01-31;La Florida;1;Rain throughout the day.;12.05;0.99;1014.4;6.24;7;10.53;13.57;14.241600000000002
2021-02-01;La Florida;1;Rain throughout the day.;12.870000000000001;0.99;1013.8;5.06;6;11.05;14.69;7.4472000000000005
2021-02-02;La Florida;1;Rain in the morning and afternoon.;13.575000000000001;0.93;1015.2;5.31;6;10.8;16.35;30.744
2021-02-03;La Florida;1;Partly cloudy throughout the day.;14.754999999999999;0.73;1016.5;6.91;9;9.33;20.18;0.7056
2021-02-04;La Florida;1;Clear throughout the day.;17.28;0.57;1018.5;9.73;12;11.65;22.91;0.0264
2021-02-05;La Florida;1;Clear throughout the day.;18.69;0.59;1015.6;7.73;11;11.74;25.64;0.0312
2021-02-06;La Florida;1;Clear throughout the day.;20.2;0.58;1013.1;8.9;11;13.87;26.53;0.08159999999999999
2021-02-07;La Florida;1;Partly cloudy throughout the day.;20.88;0.58;1012.3;8.07;10;14.95;26.81;0.7248
2021-02-08;La Florida;1;Rain starting in the afternoon.;17.32;0.79;1016.1;7.85;8;14.25;20.39;14.8488
2021-02-09;La Florida;1;Light rain throughout the day.;15.305;0.92;1019.2;4.74;7;12.4;18.21;8.6112
2021-02-10;La Florida;1;Possible light rain in the afternoon and evening.;15.08;0.92;1017.6;5.06;6;11.79;18.37;5.052
2021-02-11;La Florida;1;Rain in the morning and afternoon.;15.844999999999999;0.89;1013.7;4.82;8;11.67;20.02;5.6952
2021-02-12;La Florida;1;Possible light rain in the afternoon.;17.880000000000003;0.84;1012.3;4.33;9;13.16;22.6;6.3408
2021-02-13;La Florida;1;Partly cloudy throughout the day.;18.72;0.74;1009.9;6.29;10;13.41;24.03;1.4808
2021-02-14;La Florida;1;Clear throughout the day.;20.795;0.65;1007.9;8.53;12;15.52;26.07;1.1880000000000002
2021-02-15;La Florida;1;Rain starting in the afternoon.;18.835;0.71;1012.2;6.71;7;14.61;23.06;12.912
2021-02-16;La Florida;1;Rain in the afternoon and evening.;16.64;0.87;1013.4;4.91;8;11.79;21.49;7.444799999999999
2021-02-17;La Florida;1;Partly cloudy throughout the day.;18.75;0.78;1011.6;6.18;11;13.13;24.37;2.5872
2021-02-18;La Florida;1;Clear throughout the day.;20.085;0.68;1009.9;6.76;10;14.48;25.69;2.6376
2021-02-19;La Florida;1;Rain in the morning and afternoon.;15.92;0.91;1014.7;6.9;7;13.14;18.7;9.624
2021-02-20;La Florida;1;Partly cloudy throughout the day.;16.495;0.84;1014.8;7.47;9;11.14;21.85;1.08
2021-02-21;La Florida;1;Partly cloudy throughout the day.;19.134999999999998;0.77;1011.5;7.69;9;13.87;24.4;1.5552
2021-02-22;La Florida;1;Partly cloudy throughout the day.;21.2;0.73;1010.0;8.24;10;15.86;26.54;0.792
2021-02-23;La Florida;1;Mostly cloudy throughout the day.;17.27;0.67;1015.4;4.9;8;13.37;21.17;2.7408
2021-02-24;La Florida;1;Partly cloudy throughout the day.;18.759999999999998;0.64;1014.3;7.58;10;13.04;24.48;0.324
2021-02-25;La Florida;1;Partly cloudy throughout the day.;20.314999999999998;0.71;1013.1;8.67;10;14.84;25.79;1.7904
2021-02-26;La Florida;1;Partly cloudy throughout the day.;20.56;0.71;1010.9;10.13;9;15.26;25.86;0.1344
2021-02-27;La Florida;1;Partly cloudy throughout the day.;21.07;0.64;1013.6;9.59;10;16.14;26.0;1.1208
2021-02-28;La Florida;1;Partly cloudy throughout the day.;20.36;0.8;1012.7;7.71;9;16.36;24.36;8.1024
2021-03-01;La Florida;1;Mostly cloudy throughout the day.;20.98;0.84;1010.8;6.27;7;16.77;25.19;6.2136000000000005
2021-03-02;La Florida;1;Mostly cloudy throughout the day.;19.72;0.8;1012.3;5.73;8;15.82;23.62;7.1592
2021-03-03;La Florida;1;Overcast throughout the day.;19.185;0.8;1014.3;5.68;6;15.85;22.52;3.1728000000000005
2021-03-04;La Florida;1;Partly cloudy throughout the day.;19.89;0.79;1013.6;7.89;8;15.41;24.37;2.4863999999999997
2021-03-05;La Florida;1;Partly cloudy throughout the day.;20.26;0.73;1013.2;7.46;10;15.22;25.3;0.2544
2021-03-06;La Florida;1;Clear throughout the day.;21.73;0.66;1011.1;7.55;9;16.07;27.39;0.46799999999999997
2021-03-07;La Florida;1;Clear throughout the day.;22.795;0.62;1011.0;6.94;10;17.0;28.59;0.0552
2021-03-08;La Florida;1;Mostly cloudy throughout the day.;20.634999999999998;0.66;1015.5;8.03;7;16.56;24.71;0.7032
2021-03-09;La Florida;1;Partly cloudy throughout the day.;20.055;0.63;1014.2;8.77;9;15.3;24.81;0.1944
2021-03-10;La Florida;1;Clear throughout the day.;21.47;0.62;1009.2;9.32;9;15.23;27.71;0.4536
2021-03-11;La Florida;1;Mostly cloudy throughout the day.;19.97;0.76;1011.5;7.31;6;16.33;23.61;7.308
2021-03-12;La Florida;1;Rain in the morning and afternoon.;17.085;0.91;1015.4;5.06;5;14.76;19.41;14.647199999999998
2021-03-13;La Florida;1;Mostly cloudy throughout the day.;18.865000000000002;0.75;1015.0;7.16;7;14.29;23.44;3.7488
2021-03-14;La Florida;1;Mostly cloudy throughout the day.;18.98;0.8;1015.7;6.41;7;15.24;22.72;3.1944
2021-03-15;La Florida;1;Rain in the morning and overnight.;17.6;0.92;1012.6;9.73;6;14.93;20.27;13.703999999999999
2021-03-16;La Florida;1;Rain in the morning.;17.145;0.81;1009.4;9.66;8;13.82;20.47;8.1768
2021-03-17;La Florida;1;Mostly cloudy throughout the day.;12.155;0.87;1018.1;8.27;6;9.95;14.36;3.3216
2021-03-18;La Florida;1;Overcast throughout the day.;10.690000000000001;0.89;1018.4;6.86;6;7.91;13.47;1.5432
2021-03-19;La Florida;1;Overcast throughout the day.;12.075;0.84;1013.2;6.8;6;8.49;15.66;1.2816
2021-03-20;La Florida;1;Partly cloudy throughout the day.;15.84;0.77;1015.0;9.01;7;11.36;20.32;1.3248
2021-03-21;La Florida;1;Partly cloudy throughout the day.;13.675;0.67;1021.1;7.66;8;8.51;18.84;1.3656
2021-03-22;La Florida;1;Partly cloudy throughout the day.;14.73;0.66;1019.1;7.33;8;9.58;19.88;0.1464
2021-03-23;La Florida;1;Clear throughout the day.;16.36;0.67;1015.5;9.97;9;10.23;22.49;0.040799999999999996
2021-03-24;La Florida;1;Partly cloudy throughout the day.;17.265;0.82;1012.6;6.94;7;11.38;23.15;1.272
2021-03-25;La Florida;1;Possible light rain in the morning and afternoon.;17.4;0.98;1011.1;6.27;6;14.97;19.83;6.252000000000001
2021-03-26;La Florida;1;Possible drizzle in the morning.;13.955;0.82;1015.7;9.27;6;9.79;18.12;1.7136
2021-03-27;La Florida;1;Clear throughout the day.;12.329999999999998;0.57;1017.4;12.15;8;7.17;17.49;0.0336
2021-03-28;La Florida;1;Clear throughout the day.;12.975000000000001;0.59;1017.0;8.96;8;6.24;19.71;0.0288
